ID;SEQ;Question;Title
Q35;35;Avez-vous une fièvre importante (supérieure à 38 °C) ?;Fièvre élevée
Q36;36;Avez-vous des glaires dans vos selles ?;Glaire dans les selles
Q37;37;Avez-vous de petites vésicules sur la peau ? ;Vésicules sur la peau
Q38;38;Avez-vous du retard dans vos règles ?;Retard des règles
Q39;39;Avez-vous des abcès à l'anus ou une infection anale en général ?;Infection anale
Q40;40;Avez-vous des gaz intestinaux ?;Ballonnements
Q41;41;Avez-vous des difficultés à parler ou à tousser ?;Difficulté à parler
Q42;42;Avez-vous des battements cardiaques rapides ou irréguliers ?;Rythme cardiaque
Q43;43;Avez-vous des bouffées de chaleur ?;Bouffées de chaleur
Q44;44;Avez-vous des boutons sur la peau ? ;Boutons sur la peau
Q45;45;Avez-vous des boutons blancs sur la peau ? ;Boutons blancs sur la peau
Q46;46;Avez-vous des brûlures d'estomac ?;Brûlures à l'estomac
Q47;47;Avez-vous des brûlures sous la poitrine jusqu'au ventre ?;Brûlures à l'estomac
Q48;48;Avez-vous des brûlures quand vous urinez, lorsque l'urine entre en contact avec l'herpès ?;Herpès et brûlures
Q49;49;Avez-vous des bulles transparentes, remplies de liquide, qui forment un bouquet dans la région génitale ?;Poussé de boutons au pubis
Q50;50;Avez-vous des contractions subites ou intenses des muscles ?;Contractions musculaires
Q51;51;Avez-vous des courbatures ou des douleurs articulaires ? ;Sensibilité des articulations et des muscles
Q52;52;Avez-vous une respiration sifflante ?;Respiration bruyante
Q53;53;Avez-vous des crampes ou mal au ventre ?;Mal au ventre
Q54;54;Avez-vous des craquements aux articulations ?;Craquement des articulations
Q55;55;Avez-vous des déchirures anales ?;Lésions sur l'anus
Q56;56;Avez-vous des fourmillements à l'anus ?;Fourmillements sur l'anus
Q57;57;Avez-vous de la diarrhée ? ;Diarrhée
Q58;58;Avez-vous des difficultés à articuler ou à déglutir ?;Troubles de la mâchoire
Q59;59;Avez-vous des difficultés à initier des tâches quotidiennes (boutonner vos vêtements, attacher des lacets, etc. ) ?;Gestes quotidiens 
Q60;60;Avez-vous des difficultés à raisonner, à vous concentrer ou à penser ?;Troubles de la concentration
Q61;61;Avez-vous du mal à respirer ?;Difficulté à respirer
Q62;62;Avez-vous des difficultés à rester debout?;Tenir debout
Q63;63;Avez-vous des difficultés à uriner ?;Difficulté à uriner
Q64;64;Avez-vous des difficultés d'audition ? ;Troubles d'audition
Q65;65;Avez-vous des douleurs à l'anus ?;Douleurs à l'anus
Q66;66;Avez-vous du mal à mastiquer ou à avaler ?;Douleurs à la déglutition
Q67;67;Avez-vous des douleurs à la gorge, parfois violentes et répétées?;Mal de gorge
Q68;68;Avez-vous des douleurs ou une sensation de brûlure quand vous urinez ? ;Douleurs en urinant
Q69;69;Avez-vous des douleurs à la poitrine ?;Douleurs à la poitrine
Q70;70;Avez-vous des douleurs abdominales intenses ?;Douleurs abdominales
Q71;71;Avez-vous des douleurs aux articulations ?;Douleurs articulaires
Q72;72;Avez-vous des douleurs au bas du dos (surtout la partie inférieure) ?;Douleurs au dos
Q73;73;Avez-vous des douleurs en bas du ventre, sans rapport avec les règles ?;Mal aux ventre
Q74;74;Avez-vous une sensation générale d’inconfort ou de malaise ?;Inconfort général
Q75;75;Avez-vous des douleurs aux jambes ?;Douleurs aux jambes
Q76;76;Avez-vous des douleurs brèves, des fourmillements ou des décharges électriques ?;Fourmillements
Q77;77;Avez-vous des douleurs intenses tout au long du dos ?;Douleurs au dos
Q78;78;Avez-vous des douleurs intenses en bas du dos ou sur une fesse ?;Douleurs au dos et aux fesses
Q79;79;Avez-vous un peu de fièvre (inférieure à 38.5 °C) ?;Fièvre modérée
Q80;80;Avez-vous des douleurs musculaires, surtout en bas du dos ?;Douleurs au dos
Q81;81;Avez-vous des douleurs ou brûlures pendant vos rapports sexuels ?;Douleurs pendant les rapports
Q82;82;Avez-vous des douleurs sous forme de décharges électriques ou bien légères mais constantes ?;Engourdissements
Q83;83;Avez-vous des douleurs autour du bas du ventre et de la zone génitale ?;Douleurs pelviennes
Q84;84;Avez-vous des émissions de liquides ou de pus depuis l'anus ?;Infection à l'anus
Q85;85;Avez-vous eu une paralysie ou des affaiblissements sensitifs soudains ?;Paralysie soudaine
Q86;86;Avez-vous des excroissances des os au niveau des articulations ?;Excroissances osseuses
Q87;87;Avez-vous des douleurs lors de la défécation ?;Défécation douloureuse
Q88;88;Avez-vous des fourmillements aux pieds ou aux jambes ?;Fourmillements aux pieds
Q89;89;Ressentez-vous des démangeaisons au niveau de la région génitale ?;Démangeaisons à la région génitale
Q90;90;Avez-vous des frissons ?;Frissons
Q91;91;Constatez-vous une inflammation des ganglions ?;Inflammation des ganglions
Q92;92;Avez-vous des gestes, un débit de parole ou certaines fonctions biologiques comme la digestion plus lentes que d'habitude ?;Ralentissement généralisé
Q93;93;Avez-vous des gonflements aux chevilles, aux orteils ou aux mollets ?;Gonflement partiel des jambes
Q94;94;Avez-vous des difficultés à bouger la tête à cause d'une raideur de la nuque ?;Difficulté à bouger la tête
Q95;95;Avez-vous des gonflements du bas-ventre, des seins ou des jambes ?;Gonflements divers du corps
Q96;96;Avez-vous des hallucinations auditives, de goût, d'odorat ou visuelles ?;Hallucinations variés
Q97;97;Avez-vous des idées récurrentes de mort ou de suicide ?;Idées noirs
Q98;98;Avez-vous des insomnies ?;Insomnies
Q99;99;Avez-vous des grosseurs sur la peau ?;Kystes sur la peau
Q100;100;Avez-vous des malaises abdominaux ou une sensation générale de plénitude ?;Malaises
Q101;101;Avez-vous très faim ?;Faim exagérée
Q102;102;Avez-vous des maux de tête ou avez-vous de la migraine ?;Maux de tête
Q103;103;Avez-vous des maux de tête soudains et violents ?;Maux de tête violents
Q104;104;Avez-vous des pertes inhabituelles ou malodorantes, depuis le vagin ou l'anus ?;Pertes vaginales ou anales
Q105;105;Avez-vous des écoulements vaginaux anormaux, présents plus fréquemment le matin, qui sont ...;Écoulements vaginaux anormaux
Q106;106;Avez-vous des mouches devant les yeux, une vision double ou une perte temporaire de la vue ?;Troubles de la vue
Q107;107;Voyez-vous des mouches ou des corps flottants devant vos yeux ?;Mouches devant les yeux
Q108;108;Avez-vous des nausées ?;Nausées
Q109;109;Souffrez-vous d'apnées, de gênes respiratoires ou d'asphyxie ?;Difficultés respiratoires sévères
Q110;110;Avez-vous des pertes de mémoire ?;Troubles de mémoire
Q111;111;Souffrez-vous d'hypertension ?;Hypertension
Q112;112;Avez-vous des picotements à la poitrine ?;Picotements à la poitrine
Q113;113;Avez-vous des plaques rouges sur la peau ? ;Plaques rouges sur la peau
Q114;114;Avez-vous des points noirs sur la peau ? ;Points noirs sur la peau
Q115;115;Avez-vous des spasmes et contractures musculaires, souvent déclenchés par des bruits soudains,  au niveau ...;Contractions musculaires
Q116;116;Avez-vous des spasmes musculaires souvent dans le dos, l'abdomen et les extrémités ?;Contractions musculaires
Q117;117;Avez-vous des remontées acides ?;Brûlures à l'estomac
Q118;118;Avez-vous des rots récurrents ?;Rots récurrents
Q119;119;Avez-vous des rougeurs sur la peau ? ;Rougeurs sur la peau
Q120;120;Avez-vous des rougeurs et des éruptions sur la peau ou les muqueuses comme les lèvres,  les fosses nasales, etc. ?;Rougeurs sur la peau
Q121;121;Avez-vous des rougeurs sur le nez et les joues ?;Rougeurs sur le visage
Q122;122;Ressentez-vous de la tristesse ou du vide quotidiennement ?;Sentiment permanent de tristesse
Q123;123;Ressentez-vous de la colère, de la crainte ou de l'anxiété ?;Anxiété et humeur changeante
Q124;124;Avez-vous un bouton rouge dans la région génitale, la région anale ou la gorge, qui disparaît en 1 ou 2 mois ?;Bouton rouge sur le corps
Q125;125;Sentez-vous une décharge électrique dans l'extrémité des trois ou quatre premiers doigts de la main, ou parfois ascendante vers l'avant-bras ?;Fourmillements dans les extrémités
Q126;126;Avez-vous des sueurs froides ou la peau moite ?;Sueurs froides
Q127;127;Avez-vous de la fièvre, des maux de tête, de la fatigue ou des vomissements ... après un rapport sexuel sans préservatif ?;Symptômes grippaux après rapport sexuel
Q128;128;Avez-vous des tremblements ou une difficulté à contrôler vos mouvements (surtout aux pieds et aux jambes) ? ;Tremblements involontaires
Q129;129;Avez-vous des pertes de mémoire, des difficultés à vous concentrer ou à parler, des changements d'humeur ou des problèmes d'orientation dans l’espace et dans le temps ?;Troubles cognitifs
Q130;130;Avez-vous un sommeil agité, limité ou bien exagéré ?;Troubles de sommeil
Q131;131;Avez-vous des maux d'estomac, de la diarrhée, des nausées, des brûlures ou de la constipation ?;Troubles digestifs
Q132;132;Avez-vous des difficultés à saisir les objets, même légers ?;Saisir les objets
Q133;133;Avez-vous des trous de mémoire ou des pertes de connaissance ?;Troubles de mémoire
Q134;134;Avez-vous des varices aux jambes ?;Varices aux jambes
Q135;135;Avez-vous des vertiges ou la sensation de la tête qui tourne ?;Vertiges
Q136;136;Avez-vous des vertiges avec une incapacité à marcher ?;Perte d'équilibre
Q137;137;Avez-vous des vertiges en position debout ?;Rester debout
Q138;138;Avez-vous des vésicules rouges sur la peau ? ;Vésicules sur la peau
Q139;139;Avez-vous une douleur au poignet et à la paume, qui s'étend jusqu'aux doigts, l'avant-bras et parfois l’épaule ?;Douleur de la main jusqu'à l'épaule
Q140;140;Avez-vous du sang noir dans les selles ?;Sang dans les selles
Q141;141;Avez-vous du sang dans vos urines ?;Sang dans les urines
Q142;142;Avez-vous envie plus que d'habitude d'aliments sucrés ou salés ?;Fringales alimentaires
Q143;143;Avez-vous eu de la fièvre avant l'arrivée des autres symptômes ?;Fièvre avant les symptômes
Q144;144;Avez-vous eu le sentiment de confusion des dates ou de l'endroit où vous vous trouvez ?;Confusion du temps ou du lieu
Q145;145;Avez-vous fait une chute récemment ?;Chute récente
Q146;146;Avez-vous eu une fracture de la base du crâne ?;Fracture au crâne
Q147;147;Votre oreille coule-t-elle ?;Écoulement depuis l'oreille
Q148;148;Constatez-vous un engourdissement progressif de la main ?;Engourdissement de la main
Q149;149;Avez-vous une douleur dans le cou et la gorge, qui éventuellement s'étend jusqu'au bras ?;Douleur du cou jusqu'au bras
Q150;150;Avez-vous une raideur ou un durcissement des muscles, surtout au niveau de la nuque ?;Raideurs musculaires
Q151;151;Avez-vous la sensation d'avoir la tête lourde ? ;Tête lourde
Q152;152;Avez-vous la sensation d'avoir toujours chaud ?;Sensation de chaleur
Q153;153;Avez-vous le bas-ventre gonflé ?;Ventre gonflé
Q154;154;Avez-vous le nez bouché ? ;Nez bouché
Q155;155;Avez-vous le nez bouché ou le nez qui coule ? ;Congestion nasale
Q156;156;Avez-vous le nez qui coule ?;Nez qui coule
Q157;157;Avez-vous les jambes lourdes ?;Jambes lourdes
Q158;158;Avez-vous mal à la tête ?;Mal à la tête
Q159;159;Avez-vous mal au dos ?;Mal au dos
Q160;160;Avez-vous mal au ventre ? ;Mal au ventre
Q161;161;Avez-vous des douleurs ou du sang pendant vos évacuation de selles ?;Sang aux selles
Q162;162;Avez-vous perdu du poids sans pour autant perdre l'appétit ? ;Perte de poids inexpliqué
Q163;163;Avez-vous perdu l'appétit ou avez-vous moins d'appétit que d'habitude ? ;Perte d'appétit
Q164;164;Avez-vous perdu l'odorat ou l'audition ?;Altération des sens
Q165;165;Avez-vous pris du poids ? ;Prise de poids
Q166;166;Avez-vous ressenti une légère démangeaison avant l'arrivée de petites vésicules ? ;Démangeaisons de la peau
Q167;167;Avez-vous des difficultés à comprendre les informations verbales dans un lieu public, comme sur des haut-parleurs, dans les restaurants, les magasins ou au travail ?;Difficulté à l'audition
Q168;168;Avez-vous soif en permanence ?;Soif permanente
Q169;169;Constatez-vous un excès de salive sans manger au préalable ?;Hypersalivation
Q170;170;Constatez-vous un goitre solide au niveau de la gorge (double menton) ?;Goitre
Q171;171;Avez-vous une perte de vue d'un œil ou voyez-vous les choses en double ?;Troubles de la vue
Q172;172;Avez-vous un voile noir devant les yeux ? ;Voile noir devant les yeux
Q173;173;Avez-vous une activité intestinale bruyante ?;Gaz intestinaux
Q174;174;Avez-vous une baisse du désir sexuel ?;Baisse de la libido
Q175;175;Avez-vous des difficultés à coordonner vos mouvements ?;Coordination des mouvements
Q176;176;Avez-vous des difficultés à parler ou à comprendre les autres ?;Troubles de la communication
Q177;177;Avez-vous des difficultés pour tomber enceinte ou avez-vous eu des fausses couches à répétition ?;Difficulté à tomber enceinte
Q178;178;Arrivez-vous à comprendre une personne qui vous parle dans un environnement bruyant (restaurant, bar ...) ?;Difficultés d'audition aux lieux bondés
Q179;179;Avez-vous une douleur au bas du ventre qui se diffuse même au bas du dos ?;Douleurs à la ceinture abdominale
Q180;180;Avez-vous une douleur étendue dans la partie gauche du corps (bras, main, cou jusqu'à la mâchoire et le dos) ?;Douleurs à la partie gauche du corps
Q181;181;Avez-vous une douleur qui se propage dans la (ou les) jambe(s) ?;Irradiation des jambes
Q182;182;Avez-vous une légère paralysie d'un membre de votre corps ?;Légère paralysie
Q183;183;Avez-vous une perte d'équilibre ?;Perte d'équilibre
Q184;184;Avez-vous des problèmes à identifier certains sons et/ou à écouter de la musique ?;Difficultés à l'audition de certains sons
Q185;185;Vous arrive-t-il de ne pas entendre la sonnerie du téléphone ou de la porte ?;Difficultés à l'audition de certains sons
Q186;186;Avez-vous une sensation de chaleur ou avez-vous de la fièvre ?;Sensation de chaleur
Q187;187;;Difficultés à l'audition
Q188;188;Ressentez-vous une pression au niveau des yeux ?;Pesanteurs sous les orbites
Q189;189;Eprouvez-vous une difficulté à comprendre vos interlocuteurs lorsqu'ils sont éloignés ou au téléphone ?;Difficultés à l'audition
Q190;190;Transpirez-vous excessivement ?;Sueurs froides
Q191;191;Etes-vous désintéressé(e) par les activités qui vous procuraient du plaisir auparavant ?;Manque de motivation
Q192;192;Les douleurs se manifestent-elles surtout sur un côté de l'abdomen ?;Douleurs à une partie de l'abdomen
Q193;193;Constatez-vous des gonflements ou des rougeurs au niveau de vos articulations ?;Inflammation des articulations
Q194;194;Avez-vous des infections fréquentes aux  ...;Infections récurrentes
Q195;195;Avez-vous des petites tâches rougeâtres et plates sur la peau, qui ne blanchissent pas sous la pression du doigt ?;Pétéchies sur la peau
Q196;196;Avez-vous l'impression que les gens n'articulent pas bien, qu'ils ne sont pas précis ou qu'ils chuchotent ?;Difficultés à l'audition
Q197;197;Avez-vous des bleus autour les yeux ?;Bleus autour des yeux
Q198;198;Constatez-vous des traces noires sur l’œil ?;Traces noirs à la vision
Q199;199;Avez-vous des échauffements, gonflements ou rougeurs dans la région génitale ?;Inflammation de la région génitale
Q200;200;Constatez-vous une limitation dans vos mouvements au quotidien ?;Limitation des mouvements
Q201;201;Eprouvez-vous une difficulté à voir des objets, lorsque l'éclairage est faible ?;Troubles de vue
Q202;202;Constatez-vous une sensibilité au niveau des articulations ?;Sensibilité des articulations
Q203;203;Constatez-vous une sécheresse de vos yeux ?;Sécheresse des yeux
Q204;204;Dormez-vous trop ou pas assez ?;Troubles de sommeil
Q205;205;Effectuez-vous des petits pas en traînant les pieds,  le dos voûté, avec peu ou pas de balancement des bras ?;Tremblements au mouvement
Q206;206;Avez-vous une vision double, qui est apparue subitement ?;Vision double
Q207;207;Avez-vous l'impression d'avoir un corps étranger dans l'anus ?;Inconfort à l'anus
Q208;208;Avez-vous des douleurs aux organes génitaux, à l'aine, au bas de l'abdomen ou au bas du dos ?;Douleurs à la partie inférieure du corps
Q209;209;Avez-vous une éjaculation difficile et/ou douloureuse ?;Troubles d'éjaculation
Q210;210;Vos urines, sont-elles purulentes et/ou malodorantes ?;Urines purulentes
Q211;211;Avez-vous constaté la présence de sang dans l'urine ou dans le sperme ?;Sang dans les urines ou le sperme
Q212;212;Différents membres sont-ils touchés en même temps (poignets, doigts, chevilles ou pieds) ?;Atteinte symétrique des articulations
Q213;213;Etes-vous résistant à l'insuline (taux élevé de sucre dans le sang) ?;Résistance à l'insuline 
Q214;214;Avez-vous un taux élevé de triglycérides (gras) dans le sang ?;Triglycérides élevées 
Q215;215;Avez-vous un faible taux de HDL (bon cholestérol) dans le sang ?;Bon cholestérol
Q216;216;Souffrez-vous d'une pression artérielle élevée ?;Pression artérielle
Q217;217;Souffrez-vous de douleurs musculaires ? ;Douleurs musculaires
Q218;218;Constatez-vous une dégradation de votre état physique en général (fatigue, perte d’appétit, etc. ) ?;Dégradation de l'état général
Q219;219;Avez-vous une douleur thoracique qui s’intensifie durant la toux et les inspirations profondes ?;Douleur au thorax
Q220;220;Après quelques jours, votre toux devient-elle grasse avec des sécrétions jaunâtres, verdâtres ou parfois striées de sang ?;Toux grasse progressive
Q221;221;Vos doigts, mains ou vos pieds se déforment-ils au niveau des articulations ?;Déformations des articulations
Q222;222;Vos doigts, mains ou vos pieds sont-ils moins flexibles que d'habitude ?;Articulations raides
Q223;223;Avez-vous une montée de fièvre soudaine pouvant atteindre 41 ºC ainsi que des frissons importants ?;Montée de fièvre
Q224;224;Votre enfant a-t-il des démangeaisons ?;Démangeaisons
Q225;225;Vos douleurs s'accentuent-elles lors des règles ?;Douleurs menstruelles
Q226;226;Votre enfant a-t-il des maux de tête, une congestion nasale ou des douleurs musculaires ?;Dégradation de l'état général
Q227;227;Votre enfant a-t-il eu un peu mal pendant la ou les 2 semaines avant l’éruption de la plaque annonciatrice ?;Éruptions douloureuses
Q228;228;Votre enfant a-t-il des plaques sur le visage, les poignets et les jambes ?;Plaques rouges sur le corps
Q229;229;Vos douleurs se manifestent-elles au long de la colonne vertébrale jusqu'au fessier ?;Douleurs tout au long du dos
Q230;230;Est-ce que de nouvelles plaques apparaissent, par vagues, pendant 1 à 2 semaines ?;Nouvelles plaques rouges sur le corps
Q231;231;Avez-vous constaté, une à trois semaines après la première éruption, de petites plaques rouges qui ressemblent à un arbre de Noël dans le dos ?;Rougeurs sur la peau
Q232;232;Se coucher soulage-t-il la douleur ?;Soulagement de la douleur
Q233;233;Avez-vous ressenti une fatigue ou des maux de tête avant la première éruption ?;Douleurs prédécesseurs
Q234;234;Cette plaque est-elle foncée et plus pâle au centre?;Plaques rouges sur la peau
Q235;235;Avez-vous des lésions qui siègent surtout au tronc (le dos, thorax, de l’abdomen) ou éventuellement aux cuisses, aux bras et au pubis ?;Lésions saignantes
Q236;236;Votre enfant a-t-il des démangeaisons à l'anus, surtout la nuit ?;Démangeaisons à l'anus
Q237;237;Votre enfant a-t-il des diarrhées fréquentes ?;Diarrhées fréquentes
Q238;238;Votre enfant a-t-il des difficultés à communiquer et à se sociabiliser avec d'autres enfants, en raison de ses changements d'humeur ?;Difficulté de socialisation
Q239;239;Votre enfant a-t-il des difficultés à comprendre si quelqu'un est triste ou à exprimer ses émotions ?;Troubles émotionnelles
Q240;240;Avez-vous une grande plaque rouge et écailleuse de forme ronde ovale, de 2 à 5 cm de diamètre et clairement délimitée par une bordure rose ?;Médaillons rouges sur la peau
Q241;241;Votre enfant a-t-il mal au ventre ?;Mal au ventre
Q242;242;Votre enfant a-t-il mal au ventre ?;Nausées
Q243;243;Votre enfant a-t-il perdu son appétit ou moins d'appétit que d'habitude ? ;Perte d'appétit
Q244;244;Votre enfant a-t-il très faim ?;Faim exagérée
Q245;245;Remarquez-vous que la peau thoracique est anormalement attirée vers l'intérieur au cours d'une inspiration difficile ? ;Tirage respiratoire
Q246;246;Votre enfant commence-t-il à parler plus tard que 2 ans et perd des mots ou des phrases déjà acquis ?;Troubles du langage
Q247;247;Votre enfant effectue-t-il des mouvements répétitifs ou des routines particulières (taper les mains, tourner sur lui-même, etc.) ?  ;Stéréotypies de l'enfant
Q248;248;Votre enfant est-il nerveux, agité ou irritable la journée ?;Agitation générale
Q249;249;Boitez-vous au niveau de la hanche ou du genou ?;Boitement
Q250;250;Votre enfant se plaint-t-il de cauchemars fréquents ?;Cauchemars 
Q251;251;Votre enfant se ronge-t-il les ongles ?;Onychophagie
Q252;252;Constatez-vous une diminution de la mobilité de vos articulations ou même un blocage articulaire ? (difficultés à marcher ou à bouger les bras, du mal à fléchir le genou ou le coude, etc.);Blocage des articulations
Q253;253;Votre enfant vomit-il ?;Vomissements
Q254;254;La zone affectée est-elle sensible au toucher ?;Sensibilité au toucher
Q255;255;Souffrez-vous d'un ralentissement respiratoire ou d'une difficulté à inspirer ?;Troubles de respiration
Q256;256;Avez-vous des douleurs aux articulations qui s’accentuent lors de l’effort et s’atténuent, voire disparaissent, au repos ?;Douleurs articulaires
Q257;257;Constatez-vous un gonflement ou une sensibilité de l’un ou des deux testicules ?;Inflammation des testicules
Q258;258;Avez-vous la peau rouge, chaude, sèche ou tendue ?;Inflammation de la peau
Q259;259;Éternuez-vous plusieurs fois à la suite ?;Éternuements
Q260;260;Êtes-vous sujet à des sautes d'humeur ? ;Humeur changeante
Q261;261;Êtes-vous plus frileux que d'habitude ?;Frilosité
Q262;262;Avez-vous mal à la mâchoire, et surtout à l'avant des oreilles, provoquant éventuellement un gonflement des joues ?;Troubles de la mâchoire
Q263;263;Avez-vous des difficultés à articuler ou à ouvrir la bouche provoquées par des douleurs à la mâchoire ?;Douleurs à la mâchoire
Q264;264;Êtes-vous amaigri ? ;Perte de poids
Q265;265;Perdez-vous les cheveux ?;Perte de cheveux
Q266;266;Cochez les points qui sont vrais ...;Divers
Q267;267;Avez-vous des douleurs à l'endroit où vous avez des vésicules ? ;Vésicules douloureuses
Q268;268;Vous êtes-vous évanouis récemment ?;Perte de connaissance
Q269;269;Êtes-vous gêné(e) par la lumière ?;Sensibilité à la lumière
Q270;270;Êtes-vous inexplicablement angoissé(e) ou anxieux(se) ?;Angoisse persistante
Q271;271;Êtes-vous plus pâle que d'habitude ? ;Pâleur de la peau
Q272;272;Êtes-vous sujet à des maux de tête intenses ? ;Maux de tête
Q273;273;Avez-vous fréquemment des aphtes ?;Ulcères dans la bouche
Q274;274;Avez-vous des spasmes au niveau des bras et des jambes ?;Mouvements involontaires
Q275;275;Avez-vous un panaris (abcès) sur l'ongle, qui provoque une douleur, du pus ou saigne au moindre contact ? ;Bourrelet sur l'ongle
Q276;276;Votre peau s'est-elle coupée sur la zone de l'ongle concerné ?;Lésion sur l'ongle
Q277;277;Votre ongle est-il gonflé ou rouge ?;Inflammation sur l'ongle
Q278;278;Avez-vous un surplus de graisse réparti dans tout le corps (ventre, fesses, tronc, cou ...) ?;Graisse réparties
Q279;279;Avez-vous un poids élevé ?;Poids élevée
Q280;280;Si accouchement récent, avez-vous une douleur dans un sein pendant l'allaitement ?;Allaitement douloureux
Q281;281;Avez-vous des rougeurs sur le sein, souvent sur les extrémités ?;Rougeur des mamelons
Q282;282;Avez-vous une sensation de chaleur dans le sein ?;Chaleur aux seins
Q283;283;Ressentez-vous des démangeaisons ou des picotements sur la peau ? ;Démangeaisons de la peau
Q284;284;Ressentez-vous un changement dans la vascularisation (flux sanguin) de vos mains ou pieds ?;Vascularisation des extrémités
Q285;285;Ressentez-vous une faiblesse musculaire ? ;Faiblesse musculaire
Q286;286;Constatez-vous un gonflement inhabituel de la poitrine ?;Gonflement de la poitrine
Q287;287;Avez-vous des douleurs au niveau de l'abdomen ou une sensation de brûlure ?;Douleurs à l'abdomen
Q288;288;Constatez-vous une modification de la couleur de votre peau, suivie éventuellement par des ulcères ?;Couleur de la peau
Q289;289;Ressentez-vous une sensation de brûlure sur la peau ?;Brûlure sur la peau
Q290;290;Saignez-vous de l'anus ?;Sang depuis l'anus
Q291;291;Saignez-vous du nez ?;Saignement du nez
Q292;292;Saignez-vous énormément pendant vos règles ?;Saignements menstruelles
Q293;293;Constatez-vous une dilatation des petits vaisseaux sanguins situés à vos jambes ?;Dilatation des veines
Q294;294;Sentez-vous une urgence quand vous allez à la selle ?;Urgence à la selle
Q295;295;Avez-vous des œdèmes aux mollets, aux chevilles ou aux pieds ?;Œdèmes aux jambes
Q296;296;Avez-vous des remords par rapport à vos décisions et vos actes? ;Sentiment de culpabilité
Q297;297;Vous sentez-vous essoufflé(e) ou avez-vous besoin de tousser pendant l'effort ?;Essoufflement
Q298;298;Vous sentez-vous irritable ?;Irritabilité
Q299;299;Avez-vous des crampes musculaires nocturnes ?;Crampes nocturnes
Q300;300;Sentez-vous nerveux(euse), agité(e) ou irritable ?;Agitation
Q301;301;Ressentez-vous que vos évacuations sont incomplètes pendant vos selles ?;Défécation incomplète
Q302;302;Avez-vous des fourmillements ou un besoin irrépressible de bouger les jambes ?;Fourmillements aux jambes
